"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"water","92472","7732-18-5","231-791-2 (I)",962,"https://pubchem.ncbi.nlm.nih.gov/compound/962"
"ammonium hydroxide","31870","1336-21-6","215-647-6",14923,"https://pubchem.ncbi.nlm.nih.gov/compound/14923"
"soluble collagen","78527",,,,""
"cetearyl alcohol","75132","67762-27-0 / 8005-44-5","267-008-6 / -",62238,"https://pubchem.ncbi.nlm.nih.gov/compound/62238"
"stearyl alcohol","38319","112-92-5","204-017-6",8221,"https://pubchem.ncbi.nlm.nih.gov/compound/8221"
"ceteareth-20","75105","68439-49-6",,,""
"isostearyl alcohol","34752","27458-93-1","248-470-8",62825,"https://pubchem.ncbi.nlm.nih.gov/compound/62825"
"ceteareth-12","75097","68439-49-6",,,""
"ceteareth-30","75114","68439-49-6",,,""
"batyl alcohol","32087","544-62-7","208-874-7",3681,"https://pubchem.ncbi.nlm.nih.gov/compound/3681"
"ppg-11 stearyl ether","37064","25231-21-4",,62793,"https://pubchem.ncbi.nlm.nih.gov/compound/62793"
"steareth-20","78992","9005-00-9 (Generic)",,75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"steareth-2","78990","9005-00-9 (Generic) / 16057-43-5","500-017-8 / -",75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"ppg-15 stearyl ether","37082","25231-21-4",,62793,"https://pubchem.ncbi.nlm.nih.gov/compound/62793"
"steareth-100","78984","9005-00-9 (Generic)",,75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"steareth-4","79061","9005-00-9 (Generic) / 59970-10-4",,75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"steareth-10","78982","9005-00-9 (Generic) / 13149-86-5",,,""
"steareth-6","79066","9005-00-9 (Generic) / 2420-29-3",,75493,"https://pubchem.ncbi.nlm.nih.gov/compound/75493"
"ppg-15 stearyl ether benzoate","79860","-","-",,""
"isosteareth-20","34742","52292-17-8",,,""
"methyl gluceth-20 benzoate","78262","-","-",,""
"capryloyl salicylic acid","32421","70424-62-3",,,""
"octyldodecyl stearoyl stearate","35635","90052-75-8","289-991-0",174782,"https://pubchem.ncbi.nlm.nih.gov/compound/Octyldodecyl-stearoyl-stearate"
"pentaerythrityl tetraisostearate","36473","62125-22-8","263-423-1",173849,"https://pubchem.ncbi.nlm.nih.gov/compound/173849"
"glyceryl stearate se","76256","11099-07-3","234-325-6",93066,"https://pubchem.ncbi.nlm.nih.gov/compound/93066"
"polyglyceryl-3 diisostearate","78891","66082-42-6 / 85666-92-8","- / -",,""
"trihydroxystearin","38718","139-44-6","205-364-6",25100,"https://pubchem.ncbi.nlm.nih.gov/compound/25100"
"steareth-21","79291","9005-00-9 (Generic)",,75050,"https://pubchem.ncbi.nlm.nih.gov/compound/75050"
"glyceryl stearate citrate","76253","55840-13-6 / 86418-55-5","259-855-5",,""
"ceteareth-25","75108","68439-49-6",,,""
"gelatin","33983","9000-70-8","232-554-6",,""
"gelatin crosspolymer","56326",,,,""
"betaphycus gelatinum extract","54748",,,,""
"hydrolyzed gelatin","34430","68410-45-7","270-082-2",,""
"peg-150 distearate","77715","9005-08-7","-",16211945,"https://pubchem.ncbi.nlm.nih.gov/compound/16211945"
"potassium cetyl phosphate","79512","84861-79-0; 19035-79-1","284-374-2; 242-768-1",23672321,"https://pubchem.ncbi.nlm.nih.gov/compound/23672321"
"menthol","35228","1490-04-6 / 2216-51-5 / 89-78-1 / 15356-70-4","216-074-4 / 218-690-9 / 201-939-0 / 239-388-3",16666,"https://pubchem.ncbi.nlm.nih.gov/compound/16666"
"menthyl acetate","78157","89-48-5","201-911-8",27867,"https://pubchem.ncbi.nlm.nih.gov/compound/27867"
"menthyl anthranilate","78158","134-09-8","205-129-8",8633,"https://pubchem.ncbi.nlm.nih.gov/compound/8633"
"polysorbate 80","36902","9005-65-6",,443315,"https://pubchem.ncbi.nlm.nih.gov/compound/443315"
"polysorbate 61","79322","9005-67-8",,,""
"snail secretion filtrate","58704",,,,""
"amodimethicone","31907","71750-80-6","-",,""
"trimethylsiloxyamodimethicone","59865",,,,""
"bis-hydroxy/methoxy amodimethicone","85389","831241-93-1","-",,""
"peg-7 amodimethicone","57155","133779-14-3",,,""
"trimethylsilylamodimethicone","80399",,,,""
"bis-cetearyl amodimethicone","87257","1126942-72-0","-",,""
"amodimethicone/morpholinomethyl silsesquioxane copolymer","90195","1293390-78-9",,,""
"methoxy amodimethicone/silsesquioxane copolymer","57950",,,,""
"trideceth-9 pg-amodimethicone","59819","-","-",,""
"glyceryl oleate","76237","25496-72-4 / 111-03-5","247-038-6",33022,"https://pubchem.ncbi.nlm.nih.gov/compound/33022"
"polyglyceryl-3 polyricinoleate","78902","29894-35-7 / 235783-76-3","- / -",,""
"polyglyceryl-6 polyricinoleate","58637","107615-51-0","-",,""
"peg-18 glyceryl oleate/cocoate","77809",,,,""
"polyglyceryl-10 oleate","78764","79665-93-3","279-230-0",,""
"polyglyceryl-2 oleate","78784","49553-76-6 / 9007-48-1",,6435909,"https://pubchem.ncbi.nlm.nih.gov/compound/6435909"
"glyceryl linoleate","34084","26545-74-4(1)/ 37348-65-5(2)/ 2277-28-3(3)","218-901-4 (1)/ 247-788-4 (2)",117319,"https://pubchem.ncbi.nlm.nih.gov/compound/117319"
"triolein","38756","122-32-7","204-534-7",5497163,"https://pubchem.ncbi.nlm.nih.gov/compound/5497163"
"glyceryl ricinoleate","76247","1323-38-2 / 141-08-2","215-353-8",5928432,"https://pubchem.ncbi.nlm.nih.gov/compound/5928432"
"polyglyceryl-5 oleate","78922","86529-98-8","-",6435909,"https://pubchem.ncbi.nlm.nih.gov/compound/6435909"
"pca glyceryl oleate","77189","84608-82-2","283-393-3",,""
"adansonia digitata seed extract","54410","91745-12-9","294-680-8",,""
"benzyl alcohol","32153","100-51-6","202-859-9",244,"https://pubchem.ncbi.nlm.nih.gov/compound/244"
"phenethyl alcohol","36519","60-12-8","200-456-2",6054,"https://pubchem.ncbi.nlm.nih.gov/compound/6054"
"t-butyl alcohol","38478","75-65-0","200-889-7",6386,"https://pubchem.ncbi.nlm.nih.gov/compound/6386"
"arbutin","74362","497-76-7","207-850-3",440936,"https://pubchem.ncbi.nlm.nih.gov/compound/440936"
"alpha-arbutin","54359","84380-01-8","617-561-8",,""
"carnitine","74832","541-15-1","208-768-0",10917,"https://pubchem.ncbi.nlm.nih.gov/compound/10917"
"mannose","57702","3458-28-4","222-392-4",18950,"https://pubchem.ncbi.nlm.nih.gov/compound/18950"
"bis-peg-18 methyl ether dimethyl silane","54713",,,,""
"peg-11 methyl ether dimethicone","57428",,,,""
"isononyl isononanoate","76782","59219-71-5 / 42131-25-9","261-665-2 / -",,""
"ethylhexyl isononanoate","33881","71566-49-9","275-637-2",160064,"https://pubchem.ncbi.nlm.nih.gov/compound/160064"
"isotridecyl isononanoate","34773","59231-37-7","261-675-7",6451827,"https://pubchem.ncbi.nlm.nih.gov/compound/6451827"
"isodecyl isononanoate","76753","59231-35-5 / 41395-89-5","261-674-1",,""
"triisononanoin","38720","56554-53-1 / 206354-95-2","260-257-1 / -",92447,"https://pubchem.ncbi.nlm.nih.gov/compound/92447"
"tridecyl isononanoate","38693","125804-18-4",,,""
"hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer","56798","111286-86-3",,,""
"carbomer","74820","9007-20-9 / 9003-01-4 / 76050-42-5 / 9062-04-8 / 9007-16-3 / 9007-17-4","- / - / - / - / - / -",6581,"https://pubchem.ncbi.nlm.nih.gov/compound/6581"
"sodium carbomer","79264","73298-57-4",,,""
"potassium carbomer","36940","-","-",,""
"peg-40 hydrogenated castor oil","78452","61788-85-0","-",,""
"peg-60 hydrogenated castor oil","77219","61788-85-0","-",,""
"peg-6 hydrogenated castor oil","57041","61788-85-0","500-147-5",,""
"peg-2 hydrogenated castor oil","77822","61788-85-0","500-147-5",,""
"peg-50 hydrogenated castor oil isostearate","77040",,,,""
"peg-100 hydrogenated castor oil","77451","61788-85-0","-",,""
"peg-80 hydrogenated castor oil","77480","61788-85-0","-",,""
"peg-10 hydrogenated castor oil","77352","61788-85-0",,,""
"alpha-isomethyl ionone","39665","127-51-5","204-846-3",5372174,"https://pubchem.ncbi.nlm.nih.gov/compound/5372174"
"laureth-7","34924","3055-97-8 / 68439-50-9 / 9002-92-0","221-283-9 / 500-213-3 / 500-002-6",76459,"https://pubchem.ncbi.nlm.nih.gov/compound/76459"
"laureth-4","34915","5274-68-0 / 9002-92-0 / 68439-50-9","226-097-1 / 500-002-6 / 500-213-3",78933,"https://pubchem.ncbi.nlm.nih.gov/compound/78933"
"ppg-14 butyl ether","79852","9003-13-8",,24752,"https://pubchem.ncbi.nlm.nih.gov/compound/24752"
"ppg-5-ceteth-20","78589","9087-53-0 / 37311-01-6",,61429,"https://pubchem.ncbi.nlm.nih.gov/compound/61429"
"laureth-23","76947","9002-92-0",,24750,"https://pubchem.ncbi.nlm.nih.gov/compound/24750"
"ppg-26-buteth-26","80039","9038-95-3 / 9065-63-8",,24838540,"https://pubchem.ncbi.nlm.nih.gov/compound/24838540"
"laureth-9","34930","3055-99-0 / 9002-92-0 / 68439-50-9","221-284-4 / 500-002-6 / 500-213-3",656641,"https://pubchem.ncbi.nlm.nih.gov/compound/656641"
"laureth-12","76933","3056-00-6 / 9002-92-0","221-286-5",76460,"https://pubchem.ncbi.nlm.nih.gov/compound/76460"
"sodium laureth-12 sulfate","79585","9004-82-4","266-192-5",23665884,"https://pubchem.ncbi.nlm.nih.gov/compound/23665884"
"ceteth-20","75150","9004-95-9",,2724259,"https://pubchem.ncbi.nlm.nih.gov/compound/2724259"
"laureth-3","34911","3055-94-5 / 68439-50-9","221-280-2 / 500-213-3",76458,"https://pubchem.ncbi.nlm.nih.gov/compound/76458"
"caprylyl glycol","74860","1117-86-8","214-254-7",14231,"https://pubchem.ncbi.nlm.nih.gov/compound/14231"
"caprylic/capric triglyceride","74816","73398-61-5/ 65381-09-1","277-452-2/ 265-724-3",,""
"glyceryl caprylate","34049","26402-26-6","247-668-1",3033877,"https://pubchem.ncbi.nlm.nih.gov/compound/3033877"
"caprylyl/capryl glucoside","32427","68515-73-1","500-220-1",,""
"propylene glycol dicaprylate/dicaprate","78795","68583-51-7 / 58748-27-9 / 68988-72-7","271-516-3",,""
"capryloyl glycerin/sebacic acid copolymer","87273","1190099-88-7","-",,""
"peg-6 caprylic/capric glycerides","77121",,,,""
"butylene glycol dicaprylate/dicaprate","74757",,,,""
"neopentyl glycol dicaprylate/dicaprate","35488","70693-32-2","274-764-0",116802,"https://pubchem.ncbi.nlm.nih.gov/compound/116802"
"tricaprylin","80302","538-23-8","208-686-5",10850,"https://pubchem.ncbi.nlm.nih.gov/compound/10850"
"caprylic/capric glycerides","74815","85409-09-2","287-075-5",,""
"caprylic/capric/myristic/stearic triglyceride","74847","208126-53-8",,,""
"ethylhexylglycerin","33896","70445-33-9","408-080-2",,""
"adenosine cyclic phosphate","31368","60-92-4","200-492-9",6076,"https://pubchem.ncbi.nlm.nih.gov/compound/6076"
"xanthan gum","80699","11138-66-2","234-394-2",131750926,"https://pubchem.ncbi.nlm.nih.gov/compound/131750926"
"tetrasodium etidronate","38570","3794-83-0","223-267-7",19629,"https://pubchem.ncbi.nlm.nih.gov/compound/19629"
"sodium lauryl sulfoacetate","37947","1847-58-1","217-431-7",23668827,"https://pubchem.ncbi.nlm.nih.gov/compound/23668827"
"sodium isethionate","37896","1562-00-1","216-343-6",517063,"https://pubchem.ncbi.nlm.nih.gov/compound/517063"
"panthenyl hydroxypropyl steardimonium chloride","77007","132467-76-6",,,""
"basic violet 16","54824","6359-45-1","228-799-3",6433480,"https://pubchem.ncbi.nlm.nih.gov/compound/6433480"
"linalool","35016","78-70-6","201-134-4",6549,"https://pubchem.ncbi.nlm.nih.gov/compound/6549"
"hydroxycitronellal","34491","107-75-5","203-518-7",7888,"https://pubchem.ncbi.nlm.nih.gov/compound/7888"
"polyquaternium-7","36882","26590-05-6","-",168563,"https://pubchem.ncbi.nlm.nih.gov/compound/168563"
"vanillin","38868","121-33-5","204-465-2",1183,"https://pubchem.ncbi.nlm.nih.gov/compound/1183"
"cetyl acetate","74947","629-70-9","211-103-7",12393,"https://pubchem.ncbi.nlm.nih.gov/compound/12393"
"linalyl acetate","77311","115-95-7","204-116-4",8294,"https://pubchem.ncbi.nlm.nih.gov/compound/8294"
"isostearamidopropyl morpholine lactate","77764","72300-24-4 / 133651-38-4","- / -",,""
"tetradecyl aminobutyroylvalylaminobutyric urea trifluoroacetate","86387","934368-60-2","-",,""
"homolinalyl acetate","40261","61931-80-4","263-336-9",6434672,"https://pubchem.ncbi.nlm.nih.gov/compound/6434672"
"stearamidopropyl morpholine lactate","38262","55852-14-7","259-860-2",108781,"https://pubchem.ncbi.nlm.nih.gov/compound/108781"
"limonene","57187","138-86-3","205-341-0/931-893-3",22311,"https://pubchem.ncbi.nlm.nih.gov/compound/22311"
"titanium dioxide","38617","13463-67-7","236-675-5",26042,"https://pubchem.ncbi.nlm.nih.gov/compound/26042"
"titanium/titanium dioxide","95641",,,,""
"phenyl trimethicone","79701","195868-36-1/ 70131-69-0/ 2116-84-9","-/ -/ 218-320-6",,""
"trimethylsiloxyphenyl dimethicone","59866","73138-88-2",,,""
"diphenylsiloxy phenyl trimethicone","55863",,,,""
"diphenyl dimethicone","75932","-","-",,""
"dimethicone/phenyl vinyl dimethicone crosspolymer","33437","243137-51-1",,,""
"phenylisopropyl dimethicone","59283","-","-",,""
"diphenyl dimethicone/vinyl diphenyl dimethicone/silsesquioxane crosspolymer","55860",,,,""
"behenyl dimethicone","54837",,,,""
"phenyl dimethicone","79605","9005-12-3","-",,""
"potassium dimethicone peg-7 panthenyl phosphate","59117","-","-",,""
"aminopropyl phenyl trimethicone","54586",,,,""
"behenyl dimethicone/bis-vinyldimethicone crosspolymer","87254","-","-",,""
"glycerin","34040","56-81-5","200-289-5",753,"https://pubchem.ncbi.nlm.nih.gov/compound/753"
"phenoxyethanol","36522","122-99-6","204-589-7",31236,"https://pubchem.ncbi.nlm.nih.gov/compound/31236"
"panthenol","35839","81-13-0 / 16485-10-2","201-327-3 / 240-540-6",4678,"https://pubchem.ncbi.nlm.nih.gov/compound/4678"
"cetyl alcohol","32596","36653-82-4","253-149-0",2682,"https://pubchem.ncbi.nlm.nih.gov/compound/2682"
"talc","38438","14807-96-6","238-877-9",443754,"https://pubchem.ncbi.nlm.nih.gov/compound/443754"
"cetyl peg/ppg-10/1 dimethicone","55251",,,,""
"butylene glycol","74756","107-88-0 (i), 6290-03-5 (ii)","203-529-7 (i), 228-532-0 (ii)",7896,"https://pubchem.ncbi.nlm.nih.gov/compound/7896"
"isopentyldiol","76787","50468-22-9 / 2568-33-4","256-597-5 / 459-270-7",247470,"https://pubchem.ncbi.nlm.nih.gov/compound/247470"
"polybutylene terephthalate","78639","26062-94-2",,,""
"butylene glycol cocoate","55010",,,,""
"peg/ppg/polybutylene glycol-8/5/3 glycerin","57094",,,,""
"polybutylene glycol/ppg-9/1 copolymer","58342",,,,""
"butylene glycol laurate","55012",,,,""
"butylene glycol behenate","55009",,,,""
"pvp","37364","9003-39-8",,6917,"https://pubchem.ncbi.nlm.nih.gov/compound/6917"
"vp/hexadecene copolymer","60157","32440-50-9/63231-81-2","-/-",,""
"vp/eicosene copolymer","60156","28211-18-9",,,""
"vp/va copolymer","60160","25086-89-9",,270885,"https://pubchem.ncbi.nlm.nih.gov/compound/270885"
"hydrolyzed wheat protein/pvp crosspolymer","56696",,,,""
"vp/dimethylaminoethylmethacrylate copolymer","60153","30581-59-0",,169176,"https://pubchem.ncbi.nlm.nih.gov/compound/169176"
"vp/dmapa acrylates copolymer","60155","175893-71-1",,44146288,"https://pubchem.ncbi.nlm.nih.gov/compound/44146288"
"vp/acrylates/lauryl methacrylate copolymer","60151","83120-95-0 / 240818-89-7",,,""
"butylated pvp","74755","26160-96-3","-",,""
"vinyl dimethicone/methicone silsesquioxane crosspolymer","60095",,,,""
"dimethicone/divinyldimethicone/silsesquioxane crosspolymer","55782",,,,""
"sea salt","92507","7647-14-5","231-598-3",5234,"https://pubchem.ncbi.nlm.nih.gov/compound/5234"
"hydrolyzed wheat protein","76681","94350-06-8 / 222400-28-4 / 70084-87-6 / 100209- 50-5","305-225-0 / - / 309-358-5",,""
"dipotassium glycyrrhizate","33554","68797-35-3","272-296-1",656852,"https://pubchem.ncbi.nlm.nih.gov/compound/656852"
"disodium cocoamphodiacetate","75824",,"931-291-0",,""
"calcium carbonate","32314","471-34-1","207-439-9 -- 215-279-6",10112,"https://pubchem.ncbi.nlm.nih.gov/compound/10112"
"stearic acid","79070","57-11-4","200-313-4",5281,"https://pubchem.ncbi.nlm.nih.gov/compound/5281"
"zinc stearate","38977","557-05-1","209-151-9",11178,"https://pubchem.ncbi.nlm.nih.gov/compound/11178"
"glycol distearate","34134","627-83-8","211-014-3",61174,"https://pubchem.ncbi.nlm.nih.gov/compound/61174"
"magnesium stearate","35120","557-04-0","209-150-3",11177,"https://pubchem.ncbi.nlm.nih.gov/compound/11177"
"polyhydroxystearic acid","79007","27924-99-8 / 58128-22-6","- / -",7789,"https://pubchem.ncbi.nlm.nih.gov/compound/7789"
"glycol stearate","34143","111-60-4","203-886-9",24762,"https://pubchem.ncbi.nlm.nih.gov/compound/24762"
"isostearic acid","77840","30399-84-9 / 2724-58-5","250-178-0",21859,"https://pubchem.ncbi.nlm.nih.gov/compound/21859"
"ethylhexyl stearate","33894","22047-49-0","244-754-0",30916,"https://pubchem.ncbi.nlm.nih.gov/compound/30916"
"polyglyceryl-2 diisostearate","78777","67938-21-0","267-821-6",,""
"hydroxystearic acid","34555","106-14-9","203-366-1",7789,"https://pubchem.ncbi.nlm.nih.gov/compound/7789"
"triisostearin","38725","26942-95-0","248-122-5",168634,"https://pubchem.ncbi.nlm.nih.gov/compound/168634"
"chlorphenesin","32667","104-29-0","203-192-6",7697,"https://pubchem.ncbi.nlm.nih.gov/compound/7697"
"triethoxycaprylylsilane","59822","2943-75-1","220-941-2",,""
"trimethoxycaprylylsilane","38740","3069-40-7","221-338-7",76485,"https://pubchem.ncbi.nlm.nih.gov/compound/76485"
"dimethoxydiphenylsilane/triethoxycaprylylsilane crosspolymer","83001","-","-",,""
"sodium phytate","79995","14306-25-3 / 34367-89-0","238-242-6",23675791,"https://pubchem.ncbi.nlm.nih.gov/compound/23675791"
"phytic acid","36555","83-86-3","201-506-6",890,"https://pubchem.ncbi.nlm.nih.gov/compound/890"
"inositol","34573","87-89-8","201-781-2",892,"https://pubchem.ncbi.nlm.nih.gov/compound/892"
"glycerophosphoinositol lysine","87516","-","-",,""
"lycopene","57466","502-65-8","207-949-1",446925,"https://pubchem.ncbi.nlm.nih.gov/compound/446925"
"glycogen","34127","9005-79-2","232-683-8",439177,"https://pubchem.ncbi.nlm.nih.gov/compound/439177"
"magnesium ascorbyl phosphate","35082","114040-31-2 --- 113170-55-1",,,""
"methylparaben","35342","99-76-3","202-785-7",7456,"https://pubchem.ncbi.nlm.nih.gov/compound/7456"
"ethylparaben","33899","120-47-8","204-399-4",8434,"https://pubchem.ncbi.nlm.nih.gov/compound/8434"
"butylparaben","31734","94-26-8","202-318-7",7184,"https://pubchem.ncbi.nlm.nih.gov/compound/7184"
"isobutylparaben","34612","4247-02-3","224-208-8",20240,"https://pubchem.ncbi.nlm.nih.gov/compound/20240"
"isostearoyl hydrolyzed collagen","34749","111174-63-1",,,""
"ferric chloride","33925","7705-08-0","231-729-4",24380,"https://pubchem.ncbi.nlm.nih.gov/compound/24380"
"hydrated silica","76428","10279-57-9 / 1343-98-2 / 7631-86-9 / 112926-00-8 / 63231-67-4","- / 215-683-2 / 231-545-4 / - / -",,""
"dimethicone","33401","63148-62-9 / 9006-65-9 / 9016-00-6","- / - / - /",24705,"https://pubchem.ncbi.nlm.nih.gov/compound/24705"
"cocamidopropyl betaine","75231","97862-59-4 (generic)/61789-40-0/70851-07-9/83138-08-3","-/263-058-8/274-923-4/-",,""
"resorcinol","79461","108-46-3","203-585-2",5054,"https://pubchem.ncbi.nlm.nih.gov/compound/5054"
"etidronic acid","33900","2809-21-4","220-552-8",3305,"https://pubchem.ncbi.nlm.nih.gov/compound/3305"
"polyquaternium-4","79208","92183-41-0","-",,""
"quaternium-26","79244","68953-64-0 / 64156-20-3","273-222-0",,""
"bis-hydroxyethoxypropyl dimethicone","54690","-","-",,""
"bis-hydroxyethoxypropyl dimethicone/ipdi copolymer ethylcarbamate","54693","628723-36-4","-",,""
"diisostearyl malate","75620","67763-18-2 / 81230-05-9","267-041-6",,""
"isopropyl titanium triisostearate","34708","61417-49-0","262-774-8",162941,"https://pubchem.ncbi.nlm.nih.gov/compound/162941"
"polyglyceryl-4 diisostearate/polyhydroxystearate/sebacate","82532","-","-",,""
"isostearyl isostearate","34765","41669-30-1","255-485-3",162048,"https://pubchem.ncbi.nlm.nih.gov/compound/162048"
"isostearyl neopentanoate","34770","58958-60-4","261-521-9",42891,"https://pubchem.ncbi.nlm.nih.gov/compound/42891"
"isostearyl glycolate","57679","159317-32-5","-",,""
"isostearyl hydroxystearate","57680","162888-05-3",,,""
"neopentyl glycol diisostearate","77341","109884-54-0",,,""
"peg-175 diisostearate","57650",,,,""
"hydrogenated polyisobutene","76643","40921-86-6 / 61693-08-1",,,""
"hydrogenated polybutene","86354","-","-",7844,"https://pubchem.ncbi.nlm.nih.gov/compound/7844"
"synthetic wax","80523","8002-74-2; 68527-08-2","232-315-6",,""
"synthetic beeswax","38425","71243-51-1","275-286-5",,""
"cetyl esters","74954",,,,""
"synthetic japan wax","80521",,,,""
"synthetic candelilla wax","80518",,,,""
"sucrose tetrastearate triacetate","80470","52439-69-7","257-922-3",6452647,"https://pubchem.ncbi.nlm.nih.gov/compound/6452647"
"butylene/ethylene/styrene copolymer","55019",,,,""
"butylene/ethylene/propylene copolymer","55018",,,,""
"hydrogenated butylene/ethylene/styrene copolymer","76435",,,,""
"ethylene/propylene/styrene copolymer","56078",,,,""
"hydrogenated ethylene/propylene/styrene copolymer","76607",,,,""
"astrocaryum murumuru seed butter","54634","356065-49-1;906350-19-4",,,""
"polyglyceryl-4 isostearate","78910","-","-",,""
"polyglyceryl-2 triisostearate","78790","120486-24-0","-",,""
"polyglyceryl-2 isostearate","78781","73296-86-3 / 81752-33-2","277-361-8",3037295,"https://pubchem.ncbi.nlm.nih.gov/compound/3037295"
"polyglyceryl-2 tetraisostearate","82507","121440-30-0","-",,""
"polyglyceryl-3 stearate/isostearate/dimer dilinoleate copolymer","90508",,,,""
"polyglyceryl-10 pentaisostearate","58465",,,,""
"polyglyceryl-10 decaisostearate","58377",,,,""
"polyglyceryl-10 diisostearate","78662","63705-03-3 / 102033-55-6","- / -",,""
"dehydroacetic acid","33185","520-45-6 / 771-03-9 / 16807-48-0","208-293-9 / 212-227-4 / -",122903,"https://pubchem.ncbi.nlm.nih.gov/compound/122903"
"polyglyceryl-2 sesquiisostearate","84210","67938-21-0","-",,""
"pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate","58972","6683-19-8","229-722-6",64819,"https://pubchem.ncbi.nlm.nih.gov/compound/64819"
"pentaerythrityl tetraethylhexanoate","36471","7299-99-2","230-743-8",110956,"https://pubchem.ncbi.nlm.nih.gov/compound/110956"
"dipentaerythrityl hexa c5-9 acid esters","55954","67762-52-1","267-021-7",105574,"https://pubchem.ncbi.nlm.nih.gov/compound/105574"
"dipentaerythrityl hexahydroxystearate","75929",,,,""
"dipentaerythrityl hexacaprylate/hexacaprate","75927","68130-24-5","268-581-5",109505,"https://pubchem.ncbi.nlm.nih.gov/compound/109505"
"pentaerythrityl tetracaprylate/tetracaprate","84647","68441-68-9","270-472-2",110260,"https://pubchem.ncbi.nlm.nih.gov/compound/110260"
"pentaerythrityl tetrabehenate","36467","61682-73-3","262-895-6",162947,"https://pubchem.ncbi.nlm.nih.gov/compound/162947"
"pentaerythrityl adipate/caprate/caprylate/heptanoate","57536","68130-55-2","268-597-2",176240,"https://pubchem.ncbi.nlm.nih.gov/compound/176240"
"pentaerythrityl tetrastearate","36478","115-83-3","204-110-1",61037,"https://pubchem.ncbi.nlm.nih.gov/compound/61037"
"cholesterol","74991","57-88-5","200-353-2",5997,"https://pubchem.ncbi.nlm.nih.gov/compound/5997"
"c10-30 cholesterol/lanosterol esters","74615",,,,""
"cholesteryl chloride","32672","910-31-6","213-004-4",92850,"https://pubchem.ncbi.nlm.nih.gov/compound/92850"
"cholesteryl isostearate","74997","83615-24-1",,,""
"cholesteryl oleyl carbonate","32681","17110-51-9","241-179-7",86511,"https://pubchem.ncbi.nlm.nih.gov/compound/86511"
"cholesteryl hydroxystearate","74996","40445-72-5",,,""
"7-dehydrocholesterol","74131","434-16-2","207-100-5",172,"https://pubchem.ncbi.nlm.nih.gov/compound/172"
"ergosterol","33778","57-87-4","200-352-7",444679,"https://pubchem.ncbi.nlm.nih.gov/compound/444679"
"chenopodium quinoa seed extract","55303","-","-",,""
"lycium chinense fruit extract","57464","-","-",,""
"rubus chamaemorus seed extract","59433",,,,""
"magnesium sulfate","35121","7487-88-9; 10034-99-8 (heptahydrate)  ; 18939-43-0","231-298-2",24083,"https://pubchem.ncbi.nlm.nih.gov/compound/24083"
"magnesium laureth sulfate","77630","62755-21-9",,44150971,"https://pubchem.ncbi.nlm.nih.gov/compound/44150971"
"magnesium laureth-8 sulfate","77634","62755-21-9",,44150971,"https://pubchem.ncbi.nlm.nih.gov/compound/44150971"
"magnesium oleth sulfate","77641","87569-97-9",,,""
"magnesium lauryl sulfate","35104","3097-08-3","221-450-6",62480,"https://pubchem.ncbi.nlm.nih.gov/compound/62480"
"calcium chloride","32318","10043-52-4","233-140-8",24854,"https://pubchem.ncbi.nlm.nih.gov/compound/24854"
"sodium hyaluronate","79556","9067-32-7","-",3084049,"https://pubchem.ncbi.nlm.nih.gov/compound/3084049"
"hydrolyzed hyaluronic acid","82209","-","-",,""
"sodium acetylated hyaluronate","58706",,,,""
"hydrolyzed sodium hyaluronate","87175","-","-",,""
"sodium hyaluronate crosspolymer","79557","105524-32-1",,,""
"beta-glucan","54744","1439905-58-4 / 53238-80-5 / 55965-23-6","- / 258-443-2 / 310-127-6",,""
"yeast beta-glucan","92509",,,,""
"magnesium carboxymethyl beta-glucan","93497","1409932-89-3",,,""
"manganese sulfate","57689","7785-87-7 / 10124-55-7","232-089-9 / 233-342-6",24580,"https://pubchem.ncbi.nlm.nih.gov/compound/24580"
"zinc coceth sulfate","60273",,,,""
"ascorbyl glucoside","54531","129499-78-1","425-980-0",,""
"magnesium aluminum silicate","35080","1327-43-1","215-478-8",3084116,"https://pubchem.ncbi.nlm.nih.gov/compound/3084116"
"ci 77015","32815","1332-25-8 / 1309-37-1","- / 215-168-2",61560,"https://pubchem.ncbi.nlm.nih.gov/compound/61560"
"sodium potassium aluminum silicate","59552","66402-68-4 / 12736-96-8","266-340-9 / 235-787-1",,""
"cocodimonium hydroxypropyl hydrolyzed wheat protein","75273","130381-04-3",,,""
"dimethicone peg-7 phosphate","55763","132207-31-9",,,""
"calcium aluminum borosilicate","56178","65997-17-3","266-046-0",,""
"cetearyl ethylhexanoate","75136","90411-68-0","291-445-1",,""
"neopentyl glycol diethylhexanoate","77340","28510-23-8","250-575-9",34260,"https://pubchem.ncbi.nlm.nih.gov/compound/34260"
"methyl 2-octynoate","40692","111-12-6","203-836-6",8092,"https://pubchem.ncbi.nlm.nih.gov/compound/8092"
"sorbitan caprylate","38174","60177-36-8","262-098-3",,""
"c12-15 alkyl ethylhexanoate","74636","90411-66-8","291-443-0",,""
